4.56264,1,0
6.6674048,1,0
8.6742142,2,0
10.7714287,2,0
10.8615009,2,0
12.8200967,3,0
14.8752381,3,0
16.9519536,4,0
19.0143912,4,0
21.1534082,5,0
23.2232589,5,0
25.3964288,1,0
27.2654281,2,0
28.2996071,3,0
29.3897286,3,0
31.1051499,4,0
32.1053591,5,0
33.3481576,1,0
34.2789872,1,0
35.4247449,2,0
37.5151919,2,0
38.5844946,3,0
39.6401609,3,0
40.7372583,4,0
41.7998416,5,0
43.8071105,1,0
44.8972362,2,0
45.9595601,1,0
47.1263345,3,0
49.1678535,1,0
50.3276588,4,0
51.4526522,1,0
52.6333899,5,0
54.7238421,5,0
55.8570949,4,0
56.9044223,3,0
58.0850558,3,0
59.112782,2,0
60.3073856,2,0
61.3348687,1,0
63.5165562,2,0
65.6895393,3,0
67.9261087,4,0
70.1339942,5,0
72.3425352,1,10.7154804
74.6134316,2,8.4445892
76.8361702,3,6.2147901
78.9879778,4,4.049399
80.9603751,5,2.076996
86.9889027,1,0
87.9266052,2,0
89.0439658,3,0
90.0234261,4,0
91.1484863,5,0
92.2177269,1,7.1740663
94.4264838,2,4.9582274
95.5165846,3,3.8752137
96.6347304,4,2.7155351
97.7110078,5,1.6392516
99.9541715,4,0
102.0445641,2,4.1803248
106.4264345,4,0
106.5169005,4,1.8053806
108.6138415,2,2.1535442
110.8432247,3,2.1392123
113.0241113,5,2.1734302
115.2600056,1,12.3544745
117.468807,5,10.1112204
119.6420421,4,7.8680515
119.6564606,2,7.9305196
121.8921599,3,5.6255392
129.5036202,1,0
131.5450276,2,0
133.677359,3,0
135.8164374,4,0
137.8788391,5,0
140.2539292,1,0
141.1567108,2,0
142.2607507,3,0
143.281798,4,0
144.2470349,5,0
146.4623249,1,0
147.5943602,2,0
148.6017336,3,0
149.7749215,4,0
150.7609255,5,0
151.8445874,5,0
152.9074185,4,0
154.032172,3,0
155.0463287,2,0
156.0530232,1,0
157.2126807,1,0
158.2681716,2,0
159.2888512,3,0
160.3237423,4,0
161.5041088,5,0
